word,count
好,462
大,212
知道,193
沒,179
小,143
強,112
怎麼辦,105
沒有,96
死,94
怎樣,88
覺得,87
讓,87
一樣,85
愛,83
喜歡,77
高,73
好吃,64
開始,62
爽,60
多,58
差,53
敢,53
直接,52
紅,51
這樣,50
難,50
新,49
好看,40
需要,39
超,37
發生,35
便宜,35
貴,35
怕,33
注意,33
白,32
神奇,32
臭,31
慘,31
記得,29
不錯,29
懂,27
無,27
爆炸,27
雲集,26
海闊天空,26
厲害,25
認真,25
爛,24
靠,24
跨海,24
少,23
出現,22
適合,22
受傷,22
認識,21
好玩,21
假,20
久,19
快,18
低,18
怎麼樣,18
長,18
活,17
畢業,17
如何,17
漂亮,17
不行,17
專業,17
變,17
感覺,16
成功,16
可怕,16
海派,16
大航海,16
崩潰,15
遠,15
容易,15
無敵,15
退伍,15
病死豬,15
帥,14
醜,14
得,14
真,14
老,14
斷,14
黑,14
破,14
可愛,14
討厭,14
人山人海,14
唯一,13
清桃,13
正,13
讚,13
猛,13
智障,12
值得,12
隨便,12
稱霸,12
肥,12
超級,12
簡單,12
有錢,12
恐怖,12
重要,12
髒,12
怪,12
冷,11
難吃,11
有用,11
沒辦法,11
爆發,11
美,11
滿,11
過譽,11
超過,11
幻海,11
怎麼,11
還好,10
潮,10
關心,10
太多,10
夠,10
厚,10
奇怪,10
好用,10
很多,10
方便,10
深,10
相愛,10
年輕,10
剩下,10
正常,10
剩,10
笑死,10
環海,10
急,10
可憐,10
沒用,9
辣,9
痛,9
對,9
好聽,9
噁心,9
兩棲,9
忘,9
飽,9
爆,9
重,9
慟,9
落後,8
可以,8
合作,8
相信,8
國立,8
小心,8
棒,8
缺,8
一般,8
勝,8
隔,8
近,8
高級,8
造成,8
特別,8
酸,8
陸海空,8
逆,8
濱海,8
嚴重,8
那樣,8
雄三,8
瞞天過海,8
進步,7
遇,7
信,7
錯,7
深層,7
生,7
等待,7
乾淨,7
兇,7
知,7
壞,7
可惜,7
新鮮,7
巨大,7
願意,7
超多,7
在一起,7
獨立,7
窮,7
不同,7
來自,7
膩,7
弱,7
掉,7
發呆,7
過氣,7
嗆,7
好喝,7
統一,7
不如,7
跨年,7
哀愁,7
流行,7
停,6
自動,6
斷掉,6
漲,6
吉,6
賤,6
願,6
美麗,6
私立,6
綠,6
看,6
真心,6
過敏,6
自願,6
好笑,6
好好,6
亂,6
無聊,6
淡化,6
胖,6
淹死,6
聰明,6
大聲,6
藍,6
有無,6
差不多,6
完結,6
香,6
開,6
相關,6
難看,6
浮現,6
嘔,6
熱,5
導致,5
融化,5
黃,5
母,5
清,5
清楚,5
驚,5
剛好,5
自由,5
鮮,5
記錯,5
