word,count
海,1190
台灣,760
八卦,759
人,758
上海,516
海軍,391
海邊,354
中國,352
海賊王,301
海鮮,285
現在,237
台灣海峽,215
海洋,204
海外,201
鴻海,199
海關,192
北海道,181
日本,171
東海,165
海線,156
海豚,156
美國,152
台海,145
南海,144
海陸,143
海嘯,132
海水,132
四海,127
海倫,121
海綿,117
海龜,114
卦,108
瀏海,100
海報,97
寶寶,94
大海,93
海馬,92
肥宅,91
公海,91
大學,90
台灣人,89
時候,83
垃圾,83
國家,81
錢,80
星海,80
戰爭,79
台北,77
台中,74
海賊,74
海盜,70
腦海,70
魚,70
海灘,67
中國人,66
海豹,64
山,62
沿海,62
海倫清桃,59
高雄,58
海珊,57
陸戰隊,57
朋友,57
新海誠,57
海景,55
台,54
拓海,51
海膽,51
航海王,51
船,50
陸軍,50
以前,50
海角七號,50
海苔,49
海南島,49
家,48
海南,48
新聞,48
世界,47
海巡,46
海濤,45
女生,45
上海人,45
香港,44
國,43
海產店,43
海峽,43
深海,42
海岸線,42
龍,41
颱風,41
阿,40
感覺,40
東西,40
淡海,40
海棠,39
海森堡,39
女,38
海螺,38
海港,38
海產,38
韓國,38
當年,38
海島,38
中共,37
危機,37
事,37
褲子,37
海岸,37
電影,36
中南海,35
水,35
支那,35
金融,34
海帶,34
今天,34
北海岸,34
北京,34
吸管,34
海域,33
法師,33
胖子,33
時代,33
聲音,33
海平面,32
地中海,32
問題,32
小姐,31
海運,31
一下,31
最近,31
機場,31
飛彈,31
遊戲,31
生物,30
臺灣,30
機會,30
魯夫,30
空氣,29
最後,29
狗,29
飛輪海,29
鄉民,28
城市,28
海山,28
海龍,28
公司,28
海尼根,28
館長,28
地方,28
多久,28
心,28
頭髮,27
四海遊龍,27
部隊,27
國軍,27
清桃,27
正妹,27
海大,26
海綿體,26
迪士尼,26
搞頭,26
人類,26
輕軌,26
大陸,25
月,25
電纜,25
國際,25
遊,25
英國,25
海盜船,25
豬,24
海戰,24
風,24
當時,24
海放,24
街,24
政府,24
海賊團,24
老闆,24
事件,24
東京,23
獵人,23
夏天,23
陸,23
日,23
消波塊,23
海風,23
海專,23
艦隊,23
外海,23
車,22
集團,22
肉,22
附近,22
老婆,22
菜,22
鼻孔,22
博多,22
上海灘,21
藤原拓海,21
廣告,21
明天,21
美軍,21
人海,21
法國,21
後來,21
經濟,21
島,21
帝國,20
海洛因,20
當初,20
中華民國,20
浦東,20
員工,20
辦法,20
火影,20
美,20
珊瑚海,20
經典,20
嘴,20
海獅,19
海浪,19
分局,19
海纜,19
時間,19
空軍,19
海角,19
能力,19
之前,19
總統,19
同學,18
市場,18
霸主,18
人生,18
越南,18
北海,18
海豚灣,18
中線,18
地,18
手,18
高中,17
遼寧號,17
關係,17
意思,17
影片,17
海口人,17
海鳥,17
顏色,17
學校,17
安海瑟薇,17
海灘褲,17
領海,16
照片,16
郭台銘,16
路,16
捷運,16
樣子,16
晚上,16
文化,16
海鹽,16
遊龍,16
沖繩,16
海溝,16
天,16
漢來,16
故事,16
海馬瀨人,16
公園,16
日本人,16
澎湖,16
手機,16
兩岸,16
基隆,16
畫面,16
話,16
彌海砂,15
飛機,15
紅海,15
海神,15
石油,15
上海妹,15
以後,15
小時,15
頭,15
地震,15
軍艦,15
海倫仙度絲,15
味道,15
愛,15
老公,15
主角,15
周海媚,15
樹海,15
隧道,15
台女,15
鼻子,15
海空軍,15
五毛,15
武器,15
比利,14
海靈頓,14
台幣,14
爸,14
大甲,14
神,14
海格,14
世紀,14
華人,14
白,14
小時候,14
戀人,14
動畫,14
戰,14
七海,14
台積電,14
技術,14
航母,13
鯨魚,13
男生,13
餐廳,13
男,13
媽,13
妹妹,13
雞飯,13
螃蟹,13
福建,13
鍋貼,13
老師,13
老人,13
們,13
妹子,13
未來,13
機車,13
今年,13
海巡署,13
鯊魚,13
股票,13
海鷗,13
機率,13
王國,13
柯賜海,13
蘋果,13
馬,13
花蓮,13
海底,13
結果,13
結局,12
冰,12
店,12
糞,12
海瓜子,12
口味,12
覺青,12
東南亞,12
浴場,12
海路,12
學店,12
海參,12
星海2,12
現實,12
水準,12
新加坡,12
歐洲,12
少女,12
高鐵,12
皇帝,12
台大,12
苦海,12
名字,12
雷三,12
動物,12
油,12
近海,12
桃園,12
鳳梨,12
亞洲,12
生技,12
德國,12
湯,12
護照,12
我國,12
臉,12
屁,12
海星,12
海拔,12
水行俠,12
昨天,11
俄羅斯,11
藝人,11
內陸,11
女友,11
資源,11
時期,11
房子,11
墾丁,11
列車,11
藥,11
名,11
北韓,11
解放軍,11
海女,11
盒,11
七武海,11
歌,11
海王類,11
山線,11
娛樂,11
台南,11
者,11
字,11
人員,11
作品,11
台獨,11
阿茲海默症,11
太平洋,11
男人,11
價值,11
國民黨,10
程度,10
智商,10
泡麵,10
劇情,10
牌,10
房間,10
豬肉,10
外國人,10
啤酒,10
鮑魚,10
電腦,10
網路,10
漁港,10
差別,10
海生館,10
夢,10
海海,10
替代役,10
王,10
黑道,10
漁船,10
豆導,10
妹,10
國內,10
台東,10
何時,10
市區,10
紅髮,10
等級,10
內地,10
酒,10
國外,10
法海,10
天氣,10
逢甲,10
海棉,10
訓練,10
漫畫,10
寶可夢,10
線,10
海草,10
角色,10
霞海,10
淡水,10
地帶,10
綠茶,10
小孩,10
菲律賓,10
山海經,10
媽祖,10
海霸王,10
川普,10
房,10
海洛英,9
海堂,9
腦,9
系列,9
山海,9
圖,9
目前,9
藍色,9
兵,9
媽媽,9
學生,9
安海,9
地球,9
科技,9
工程師,9
女孩,9
比基尼,9
樂園,9
海倫凱勒,9
義務役,9
憲兵,9
海龜湯,9
碧海,9
俄國,9
沙,9
社會,9
草帽,9
佛跳牆,9
事情,9
海鮮粥,9
海參崴,9
船長,9
中華,9
身體,9
英雄,9
宇宙,9
韓國人,9
人海戰術,9
戰力,9
台男,9
滄海,9
海地,9
工作,9
作者,9
海鮮味,9
海象,9
蛋,9
內海,9
國中,9
海狗,9
海拋,9
中,9
果實,9
一,9
韓,9
市鎮,9
神作,9
美國人,9
內褲,9
爭議,9
東吳,9
蘿莉,9
基地,8
海悅,8
企業,8
牛,8
全球,8
女朋友,8
交通,8
海怪,8
核,8
傳說,8
臺海,8
教授,8
樹,8
姆咪,8
城,8
大,8
台語,8
波羅的海,8
豆漿,8
學長,8
原因,8
石,8
白海豚,8
移民,8
年輕人,8
金錢豹,8
票,8
光,8
三軍,8
賭聖,8
意外,8
宜蘭,8
國小,8
娜美,8
梗,8
電視,8
同時,8
實力,8
潮,8
新田惠海,8
哥,8
彰化,8
有錢人,8
民眾,8
空,8
屁事,8
外國,8
女人,8
書,8
嘉義,8
長榮,8
幻海,8
笑話,8
牆,8
眼睛,8
巨人,8
珠海,8
沙灘,8
大橋,8
機器人,8
中心,8
光隆,8
對岸,8
心情,8
海牙,8
薪水,8
深海魚,8
波浪,8
浪,8
潛艇,8
印尼,8
兄弟,8
先生,7
氣候,7
四川,7
物價,7
鬼,7
屏東,7
雲林,7
歷史,7
早上,7
記者,7
加勒比海,7
生活,7
建築,7
新竹,7
民主,7
薪資,7
金門,7
青眼,7
奇緣,7
航空母艦,7
公路,7
嬸嬸,7
藍天,7
陽光,7
水母,7
水餃,7
火車站,7
天海祐希,7
標準,7
眼,7
陸地,7
節目,7
白痴,7
雨,7
身,7
大便,7
稽查員,7
茶,7
貿易,7
環保,7
團體,7
飯店,7
甲甲,7
別墅,7
英文,7
經驗,7
比賽,7
劉海,7
腳踏車,7
單位,7
漁民,7
月薪,7
系統,7
強國,7
專家,7
糞作,7
文組,7
釣魚台,7
後代,7
巔峰,7
海頓,7
戰場,7
印象,7
關西,7
王者,7
蟑螂,7
活動,7
國民,7
爸爸,7
坦克,7
方式,7
華僑,7
航空,7
冬,7
七龍珠,7
太平島,7
主權,7
女森,7
海底撈,7
海科館,7
台北人,7
現場,7
麵包,7
維尼,7
行李,6
刀,6
火海,6
長輩,6
阿茲海默,6
老爸,6
演藝圈,6
海砂,6
花東,6
家人,6
成龍,6
音樂,6
摩西,6
屁股,6
海葬,6
北極熊,6
山珍海味,6
政治,6
女兒,6
一般人,6
領土,6
屍體,6
鄰居,6
飯,6
肉粽,6
德,6
警察,6
印度,6
生意,6
粽,6
肚子,6
黑人,6
海南隊,6
海鮮丼,6
料,6
那時,6
大阪,6
股價,6
雷屁,6
積蓄,6
巴拿馬,6
公車,6
地獄,6
石頭,6
海貓,6
明星,6
小說,6
學弟,6
黑暗,6
人才,6
意義,6
粉絲,6
河,6
藍海,6
中國海,6
沛納海,6
花海,6
法,6
廢料,6
冬天,6
母豬,6
海洋法,6
馬英九,6
秋海棠,6
卡,6
街亭,6
拉麵,6
特區,6
去年,6
成員,6
心態,6
省,6
記憶,6
勢力,6
泰國,6
對手,6
軍人,6
冷氣,6
海明威,6
志願役,6
房價,6
淡江,6
心靈,6
台鐵,6
旗津,6
企鵝,6
辣椒,6
大戰,6
夏普,6
蝦子,6
安海瑟威,6
假日,6
都市,6
貓貓,6
海大富,6
咖哩,6
海蟑螂,6
海盒子,6
天海,6
城隍廟,6
熊,6
颱風天,6
動作,6
青海,6
海蔘,6
珍珠,6
隔壁,6
海燕,6
子瑜,6
貢寮,6
