word,freq
藍色的,31
廣闊的,29
平靜的,26
包容的,17
蔚藍的,17
放鬆的,17
湛藍的,15
危險的,15
廣大的,14
鹹的,14
寧靜的,13
自由的,13
藍的,13
深的,13
神秘的,12
美麗的,12
遼闊的,11
大的,11
清澈的,10
舒服的,9
未知的,9
漂亮的,8
寬廣的,8
一望無際的,8
快樂的,7
blue的,6
浪漫的,6
洶湧的,6
深邃的,6
涼爽的,6
悠閒的,6
寬闊的,5
冰冷的,4
閃亮的,4
鹹鹹的,4
熱的,4
舒適的,4
安靜的,4
溫柔的,4
深不可測的,4
深藍的,3
波光粼粼的,3
無限的,3
平和的,3
清涼的,3
deep的,3
深沉的,3
冰涼的,3
沉靜的,3
浩瀚的,3
永恆的,3
冷的,3
流動的,3
壯觀的,3
無邊無際的,3
無際的,3
深沈的,3
沁涼的,2
cold的,2
寬的,2
開闊的,2
休閒的,2
神祕的,2
豐富的,2
懷念的,2
the的,2
好奇的,2
明亮的,2
冰的,2
憂鬱的,2
舒壓的,2
狂野的,2
藍藍的,2
沉穩的,2
愉快的,2
熱情的,2
享受的,2
窒息的,2
廣袤的,2
自在的,2
透明的,2
狂暴的,2
vast的,2
無常的,2
happy的,2
海闊天空的,2
安詳的,2
陽光的,2
舒緩的,2
溫暖的,2
安心的,2
柔和的,2
遙遠的,2
無垠的,2
large的,2
刮起風來有點恐怖的,1
慈祥的,1
無窮的,1
安定的,1
舒爽的,1
far的,1
furious的,1
波動的,1
開放的,1
遠的,1
難以捉摸的,1
寒冷的,1
白色的,1
性感的,1
黑的,1
peace的,1
cool的,1
beautiful的,1
sunny的,1
繽紛的,1
閃閃發光的,1
撫慰人心的,1
無涯的,1
陰森的,1
雋永的,1
vast:的,1
referring的,1
to的,1
immense的,1
size的,1
and的,1
expanse的,1
of的,1
sea.的,1
興奮的,1
青澀的,1
苦的,1
閃爍的,1
（天氣）的,1
波掏洶湧的,1
風起雲湧的,1
永續的,1
絢麗的,1
汪洋的,1
無私的,1
多樣的,1
可怕的,1
難以預測的,1
靜謐的,1
悠然的,1
廣的,1
能治癒的,1
令人嚮往的,1
沈穩的,1
海藍色的,1
海洋的,1
海王的,1
海味的,1
海鹽的,1
海生的,1
引人入迷的,1
有吸引力的,1
廣袤無邊的,1
陰柔的,1
母性的,1
開心的,1
有趣的,1
好玩的,1
無盡的,1
不確定的,1
物種豐富的,1
寧靜祥和的,1
廣袤無垠的,1
波瀾壯闊的,1
花心的,1
風大的,1
渣的,1
愛釣魚的,1
色的,1
混亂的,1
迷茫的,1
big的,1
good的,1
endless的,1
和平的,1
wide的,1
relax的,1
那個我一直無法正視的,1
那裡原來你一直都在的,1
有種好想就這樣跳進去的,1
畢竟我已經沒有容身之地的,1
這裡已經是世界盡頭的,1
可靠的,1
無邊際的,1
海派的,1
海海（人生）（其實這算臺語吧？）的,1
跨海的,1
海外的,1
transparent的,1
serenity的,1
roaring的,1
清爽的,1
海風鹹鹹的,1
有聲音的,1
詭譎的,1
海誓山盟的,1
滄海桑田的,1
天涯海角的,1
強大的,1
沈默的,1
深不見底的,1
磅礴的,1
有活力的,1
很廣闊的,1
很藍的,1
很冰的,1
柔軟的,1
刺激的,1
夢幻的,1
lightly的,1
joyful的,1
salty的,1
hot的,1
多變的,1
緩慢的,1
舒坦的,1
安穩的,1
穩定的,1
想睡覺的,1
療癒的,1
黑暗的,1
多元的,1
充滿生命力的,1
原始的,1
淡藍的,1
碧綠的,1
黛青的,1
炎熱的,1
有力量的,1
隨意的,1
愉悅的,1
健康的,1
乾淨的,1
很曬的,1
恐怖的,1
濕的,1
搖晃的,1
平坦的,1
舒暢的,1
異質的,1
不可測量的,1
深刻的,1
鹹/濕/冷的,1
沈淪的,1
內斂的,1
含蓄的,1
美好的,1
滿足的,1
綠色的,1
吞噬（對不起這是動詞但是好想寫..）美麗的,1
深奧的,1
奇妙的,1
渺小的,1
美的,1
輕鬆的,1
嬉笑的,1
童趣的,1
仁慈的,1
多樣性的,1
張牙舞爪的,1
風平浪靜的,1
傷痕累累的,1
潮濕的,1
壯闊的,1
無遠弗屆的,1
療育的,1
吵雜的,1
noisy的,1
clean的,1
suffocating的,1
酷涼的,1
規律的,1
wavy的,1
rough的,1
