word,freq
沙灘,55
海浪,37
藍色,34
魚,29
船,25
海洋,23
水,20
海風,16
海豚,13
海鮮,13
浪花,13
波浪,13
海灘,11
陽光,11
夕陽,11
海鷗,9
鹽,8
海龜,7
海水,7
比基尼,7
天空,7
自由,7
珊瑚,7
太陽,6
海星,6
貝殼,6
海豹,6
海王,6
夏天,5
衝浪,5
大海,5
鯨魚,5
海岸,5
海邊,5
water,4
石頭,4
sea,4
ocean,4
beach,4
螃蟹,4
浪,4
平靜,4
生命,4
風,4
藍天,3
海產,3
沙,3
fish,3
沙子,3
廣闊,3
海嘯,3
海軍,3
泡沫,3
大自然,3
椰子樹,3
島嶼,3
潮汐,3
山,3
海綿寶寶,2
鹹味,2
消波塊,2
青春,2
waves,2
假期,2
漁船,2
泡泡,2
島,2
藍,2
海浪聲,2
海海人生,2
鳥,2
鹹,2
陽傘,2
人生海海,2
海草,2
包容,2
游泳圈,2
泳衣,2
蝦,2
白色,2
游泳,2
衝浪板,2
晴天,2
海景,2
海象,2
海生,2
海牛,2
海狗,2
燈塔,2
潛水,2
礁石,2
鮪魚,1
鮭魚,1
海藻,1
真珠美人魚,1
漩渦🌀,1
水光,1
海砂,1
冰涼,1
鹹鹽,1
快樂,1
turtle,1
swimmer,1
surffing,1
波光,1
辣妹,1
放鬆,1
樹,1
煙火,1
marine,1
blue,1
螺,1
水母,1
漣漪,1
漁夫,1
貿易,1
太平洋,1
生態,1
漁業,1
砂礫,1
岸邊,1
ships,1
coral,1
海苔,1
うみ,1
海的對面是敵人,1
曬傷,1
探險,1
秘密基地,1
國小,1
奶奶老家,1
日落,1
企鵝,1
海巡署,1
白噪音,1
波賽頓,1
法蘭克薛慶,1
巨齒鯊,1
波妞,1
海闊天空,1
海啊,1
海南雞飯,1
進擊的巨人,1
墾丁,1
北海岸,1
澎湖,1
紋路,1
浪聲,1
目的地,1
地點,1
世界,1
生物,1
海哭的聲音,1
美女,1
敵人,1
白雲,1
起源,1
和平,1
消融,1
毀滅,1
那年夏天寧靜的海,1
海波浪,1
淚海,1
浪漫,1
遼闊,1
溫暖,1
危險,1
海的味道,1
海霸王,1
海峽,1
海之聲,1
海龍王,1
聽海哭的聲音,1
海蟄皮,1
海生館,1
海獅會害怕,1
大,1
清澈,1
幸福,1
潛水艇,1
環境,1
地球,1
遊客,1
攤販,1
航行,1
遠洋,1
近海,1
湛藍色,1
神靈,1
艾克曼螺旋,1
海膽,1
ship,1
swim,1
turtles,1
鴿子,1
人,1
獨木舟,1
salt,1
sand,1
sky,1
paradise,1
燈塔水母,1
中央脊,1
瓦憂瓦憂島,1
墳場,1
沙丘,1
心情,1
污染,1
粼光,1
海選,1
海島,1
港口,1
工海,1
海關,1
foam,1
舒服,1
味道,1
珍珠,1
海納百川,1
暗潮洶湧,1
驚濤駭浪,1
無邊際,1
湛藍,1
深,1
研究船,1
生態系,1
敵人（進巨）,1
無邊無際,1
深不可測,1
漩渦,1
文學,1
海鹽,1
地球上最大的水體,1
海洋污染,1
魚船,1
海港,1
釣魚阿伯,1
岩石,1
雨,1
車子,1
核災,1
懸崖,1
漁光島,1
火車,1
surfing,1
shell,1
nail,1
小海豚,1
天際線,1
地平線,1
泡,1
聲音,1
家鄉,1
睡覺,1
咖啡廳,1
深度,1
死亡,1
窒息,1
海量,1
地中海,1
家人朋友,1
遮陽帽,1
浮潛,1
憂鬱,1
海獅,1
回憶,1
夏日,1
free!,1
泳裝,1
遙,1
飲料,1
浮板,1
蔚藍,1
天,1
海平面,1
海獸,1
廖鴻基,1
大堡礁,1
紅豬,1
哭/貝殼/自殺/夕陽/沙子,1
寧靜,1
沈靜,1
靜謐,1
花蓮,1
眷戀,1
曖昧,1
想念,1
船長,1
動漫,1
卡通,1
電影,1
畫面,1
花東,1
藝術,1
生活,1
空間,1
時間,1
思緒,1
風帆,1
暴風,1
氣壓,1
天氣,1
氣候,1
意外,1
未知世界,1
冒險,1
挑戰,1
海,1
派大星,1
章魚哥,1
小蝸,1
蟹老闆,1
寄居蟹,1
泳圈,1
烏龜,1
排球,1
水上摩托車,1
渡輪,1
郵輪,1
貝類,1
救生圈,1
黑潮,1
海難,1
鹽巴,1
藤壺,1
渡假,1
放送,1
seafood,1
浴缸,1
bathtub,1
美人魚,1
mermaid,1
主權,1
sovereignty,1
景色,1
boats,1
saline,1
seagull,1
wave,1
