時間戳記,母語,外語,外語流利,年齡,聯想名詞,感覺,聯想形容詞
5/14/2023 21:11:47,中文,English,4,15-19,鮪魚 鮭魚 海藻 海龜 船,正面 Positive,冰冷的 深藍的
5/14/2023 21:14:40,中文,English,4,20-24,"1.真珠美人魚 
2.海豚
3.海綿寶寶
4.船
5.漩渦🌀",正面 Positive,1.舒服 2.廣闊 3.刮起風來有點恐怖
5/14/2023 21:14:48,中文,English,5,15-19,"水
藍天
沙灘
海風
水光",正面 Positive,"平靜
遼闊
湛藍
波光粼粼
沁涼"
5/14/2023 21:14:59,中文,English,5,20-24,海洋、海灘、海鮮、海產、海砂,正面 Positive,無限、慈祥、平和、遼闊、無窮
5/14/2023 21:15:46,中文,English,4,15-19,藍色、沙、船、夏天、海浪,正面 Positive,廣大的
5/14/2023 21:16:31,中文,English,6,20-24,藍色 冰涼 鹹鹽 海浪 快樂,中性 Neutral,清澈 清涼 湛藍 安定 舒爽
5/14/2023 21:17:15,中文,English,5,30↑,water， fish， turtle，swimmer，surffing,正面 Positive,cold，deep，blue，far，furious
5/14/2023 21:18:21,中文,English,5,15-19,藍色 沙灘 魚 陽光 船,正面 Positive,廣闊的 藍色的 波動的 包容的 危險的
5/14/2023 21:19:58,中文,English,4,20-24,衝浪 海浪 波光 藍色 陽光,正面 Positive,寧靜 開放 自由 神秘 浪漫
5/14/2023 21:20:24,中文,English,5,25-29,海水 陽光 沙灘 比基尼 辣妹,中性 Neutral,藍 深 遠 大 寬
5/14/2023 21:22:08,中文,English,4,15-19,藍色 鹹味 石頭 天空 海風,正面 Positive,深沉的 難以捉摸的 廣闊的 冰涼的 寒冷的
5/14/2023 21:22:49,中文,中文,7,20-24,海洋 沙灘 藍色 海水 浪花,正面 Positive,藍色 白色 平靜 漂亮 洶湧
5/14/2023 21:23:57,中文,English,5,20-24,放鬆、自由、藍色、沙灘、比基尼,正面 Positive,開闊、自由、休閒、閃亮、性感
5/14/2023 21:24:51,中文,中文,7,15-19,沙灘 海浪 太陽 樹 煙火,中性 Neutral,大的 神祕的 豐富的 深的 黑的
